amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
694.44;1608.51;249305.56;19.5;79.27916808;2401.72916808;1000.0;250000.0;500000.0;250694.44;220694.44
694.44;1604.04;248611.12;19.5;79.05833616000001;2397.03833616;1000.0;251750.4389416342;500702.87344634836;252091.75344634836;222049.58103956745
694.44;1599.57;247916.68;19.5;78.83750424;2392.34750424;1000.0;253498.64113132906;501406.7349548599;253490.0549548599;223405.6508575683
694.44;1595.1;247222.24;19.5;78.61667232;2387.65667232;1000.0;255244.6034247775;502111.5859144999;254889.3459144999;224762.6507596299
694.44;1590.64;246527.8;19.5;78.3958404;2382.9758404;1000.0;256988.3326873098;502817.4277161862;256289.62771618622;226120.58205321507
694.44;1586.17;245833.36;19.5;78.17500848;2378.28500848;1000.0;258729.81576579218;503524.261752792;257690.901752792;227479.4460476245
694.44;1581.7;245138.91999999998;19.5;77.95417656000001;2373.5941765600005;1000.0;260469.04950265845;504232.0894191484;259093.1694191484;228839.24405399952
694.44;1577.23;244444.47999999998;19.5;77.73334464;2368.90334464;1000.0;262206.0307359036;504940.9121120473;260496.43211204733;230199.97738532448
694.44;1572.76;243750.03999999998;19.5;77.51251272;2364.2125127199997;1000.0;263940.7562990777;505650.7312302443;261900.6912302443;231561.64735642963
694.44;1568.29;243055.59999999998;19.5;77.2916808;2359.5216808;1000.0;265673.2230212795;506361.548174461;263305.948174461;232924.25528399338
694.44;1563.83;242361.15999999997;19.5;77.07084888;2354.84084888;1000.0;267403.4377412078;507073.3643473883;264712.20434738835;234287.80248654506
694.44;1559.36;241666.71999999997;19.5;76.85001696;2350.1500169600004;1000.0;269131.3872790599;507786.1811536889;266119.46115368896;235652.29028446763
694.44;1554.89;240972.27999999997;19.5;76.62918504;2345.4591850399997;1020.0;270755.7892235247;508500.00000000006;267527.7200000001;237017.7200000001
694.44;1550.42;240277.83999999997;19.5;76.40835312;2340.76835312;1020.0;272459.0283520337;509214.82229493634;268936.9822949364;238384.09295724018
694.44;1545.95;239583.39999999997;19.5;76.18752119999999;2336.0775212000003;1020.0;274159.9643776127;509930.6494490925;270347.24944909255;239751.410482147
694.44;1541.49;238888.95999999996;19.5;75.96668928;2331.3966892800004;1020.0;275858.6040767394;510647.4828750464;271758.5228750464;241119.67390254364
694.44;1537.02;238194.51999999996;19.5;75.74585735999999;2326.70585736;1020.0;277554.9342073026;511365.32398736133;273170.8039873614;242488.8845481197
694.44;1532.55;237500.07999999996;19.5;75.52502544;2322.0150254399996;1020.0;279248.9515226334;512084.1742025894;274584.0942025894;243859.04375043407
694.44;1528.08;236805.63999999996;19.5;75.30419352;2317.32419352;1020.0;280940.652771499;512804.0349392738;275998.3949392738;245230.1528429174
694.44;1523.61;236111.19999999995;19.5;75.08336159999999;2312.6333616;1020.0;282630.03469809616;513524.907617952;277413.707617952;246602.2131608749
694.44;1519.15;235416.75999999995;19.5;74.86252968;2307.95252968;1020.0;284317.1040561023;514246.79366115824;278830.0336611583;247975.2260414888
