25;30;35;40;45;50;55;60;65;70;75;80
0.0115;0.0119;0.0169;0.0211;0.0254;0.0336;0.0525;0.1015;0.1807;0.2129;0.2824;0.325
;0.0121;0.0174;0.0222;0.0286;0.0359;0.0563;0.1093;0.1807;0.2307;0.2824;0.352
;;0.0178;0.0229;0.0302;0.0404;0.06;0.01171;0.1946;0.2307;0.306;0.325
;;;0.0234;0.0312;0.0426;0.0675;0.1249;0.2085;0.2484;0.306;0.325
;;;;0.0318;0.0439;0.0713;0.1405;0.2224;0.2662;0.3295;0.325
;;;;;0.0448;0.0675;0.1327;0.2085;0.2484;0.3295;0.3295
;;;;;;0.0751;0.1327;0.2308;0.2662;0.306;0.3295
;;;;;;;0.1561;0.2641;0.3372;0.4236;0.3766
;;;;;;;;0.2781;0.3372;0.4472;0.4236
;;;;;;;;;0.3549;0.4472;0.4236
;;;;;;;;;;0.4707;0.4472
;;;;;;;;;;;0.4707
