correction;amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
0.0;1166.67;1583.16;278833.33;21.84;124.91733184;2896.58733184;1160.0;120000.0;400000.0;121166.66999999998;97166.66999999998
0.0;1166.67;1576.56;277666.67;21.84;187.42500225;2952.49500225;1160.0;121931.37753227657;400414.29840587935;122747.62840587937;98722.77050152661
0.0;1166.67;1569.97;276500.0;21.84;186.63750000000002;2945.1175000000003;1160.0;123857.57153978868;400829.0259196815;124329.02591968147;100279.28436450058
0.0;1166.67;1563.37;275333.33;21.84;185.84999775000003;2937.72999775;1160.0;125778.56610025137;401244.18298585323;125910.85298585321;101836.20200670202
0.0;1166.67;1556.77;274166.67;21.84;185.06250225;2930.34250225;1160.0;127694.3552913841;401659.77004930173;127493.10004930175;103393.51384634365
0.0;1166.67;1550.18;273000.0;21.84;184.275;2922.9650000000006;1160.0;129604.94318204082;402075.7875553949;129075.78755539493;104951.24030207124
0.0;1166.67;1543.58;271833.33;21.84;183.48749775000002;2915.57749775;1160.0;131510.3138296666;402492.2359499621;130658.90594996209;106509.37179296438
0.0;1166.67;1536.99;270666.67;21.84;182.70000225;2908.20000225;1160.0;133410.47130309095;402909.11567929434;132242.44567929435;108067.89873853669
0.0;1166.67;1530.39;269500.0;21.84;181.91250000000002;2900.8125000000005;1160.0;135305.39963946136;403326.4271901448;133826.42719014478;109626.8415587361
0.0;1166.67;1523.79;268333.33;21.84;181.12499775000003;2893.4249977500003;1160.0;137195.09287588348;403744.1709297295;135410.84092972946;111186.19067394569
0.0;1166.67;1517.2;267166.67;21.84;180.33750225;2886.04750225;1160.0;139079.5550608242;404162.3473457276;136995.67734572763;112745.93650498397
0.0;1166.67;1510.6;266000.0;21.84;179.55;2878.6600000000003;1160.0;140958.77021104516;404580.9568862821;138580.95688628207;114306.09947310515
0.0;1166.67;1504.0;264833.33;21.84;178.76249775000002;2871.27249775;1174.5;142775.370343847;404999.9999999999;140166.66999999987;115866.66999999987
0.0;1166.67;1497.41;263666.67;21.84;177.97500225;2863.8950022500003;1174.5;144629.5015403148;405419.47713595274;141752.80713595275;117427.6385077956
0.0;1166.67;1490.81;262500.0;21.84;177.1875;2856.5075;1174.5;146478.35111500218;405839.3887436774;143339.3887436774;118989.02541905676
0.0;1166.67;1484.21;261333.33;21.84;176.39999775;2849.11999775;1174.5;148321.91304516527;406259.7352731763;144926.4052731763;120550.82115678572
0.0;1166.67;1477.62;260166.67;21.84;175.61250225;2841.74250225;1174.5;150160.19131935335;406680.51717491786;146513.84717491784;122113.01614442277
0.0;1166.67;1471.02;259000.0;21.84;174.82500000000002;2834.355;1174.5;151993.16989434208;407101.73489983723;148101.73489983723;123675.630805847
0.0;1166.67;1464.42;257833.33;21.84;174.03749775;2826.9674977500003;1174.5;153820.84272677355;407523.3888993365;149690.05889933652;125238.65556537634
0.0;1166.67;1457.83;256666.67;21.84;173.25000225000002;2819.59000225;1174.5;155643.21378455946;407945.47962528537;151278.80962528536;126802.08084776823
0.0;1166.67;1451.23;255500.0;21.84;172.4625;2812.2025000000003;1174.5;157460.26700381434;408368.0075300215;152868.00753002148;128365.9270782202
0.0;1166.67;1444.63;254333.33;21.84;171.67499775;2804.81499775;1174.5;159271.99632049564;408790.973066351;154457.64306635104;129930.18468236997
0.0;1166.67;1438.04;253166.67;21.84;170.88750225;2797.4375022500003;1174.5;161078.4056818068;409214.3766875492;156047.70668754916;131494.84408629622
0.0;1166.67;1431.44;252000.0;21.84;170.10000000000002;2790.05;1189.18;162864.7822632194;409638.2188473606;157638.21884736058;133059.92571651895
0.0;1166.67;1424.84;250833.33;21.84;169.31249775;2782.6624977500005;1189.18;164596.4062208583;410062.4999999999;159229.1699999999;134625.4199999999
0.0;1166.67;1418.25;249666.67;21.84;168.52500225000003;2775.28500225;1189.18;166372.01261729855;410487.22060015216;160820.55060015214;136191.317364143
0.0;1166.67;1411.65;248500.0;21.84;167.7375;2767.8975000000005;1189.18;168142.2478484861;410912.38110297336;162412.38110297336;137757.63823679497
0.0;1166.67;1405.06;247333.33;21.84;166.94999775;2760.51999775;1189.18;169907.11580097204;411337.98196409096;164004.65196409097;139324.3730462455
0.0;1166.67;1398.46;246166.67;21.84;166.16250225000002;2753.1325022500005;1189.18;171666.60034969068;411764.02363960433;165597.35363960432;140891.51222122807
0.0;1166.67;1391.86;245000.0;21.84;165.375;2745.745;1189.18;173420.69534907638;412190.5065860852;167190.5065860852;142459.07619092008
0.0;1166.67;1385.27;243833.33;21.84;164.58749775;2738.3674977500004;1189.18;175169.4046647165;412617.4312605782;168784.10126057823;144027.05538494355
0.0;1166.67;1378.67;242666.67;21.84;163.80000225;2730.9800022500003;1189.18;176912.71215055767;413044.79812060145;170378.12812060144;145595.44023336534
0.0;1166.67;1372.07;241500.0;21.84;163.01250000000002;2723.5924999999997;1189.18;178650.61164002266;413472.60762414674;171972.60762414674;147164.25116669794
0.0;1166.67;1365.48;240333.33;21.84;162.22499775;2716.2149977500003;1189.18;180383.10697766326;413900.8602296804;173567.5302296804;148733.47861589957
0.0;1166.67;1358.88;239166.67;21.84;161.43750225000002;2708.82750225;1204.05;182095.29503979452;414329.5563961435;175162.8863961435;150303.1130123749
0.0;1166.67;1352.28;238000.0;21.84;160.65;2701.44;1204.05;183802.03961941972;414758.6965829526;176758.69658295257;151873.1747879754
0.0;1166.67;1345.69;236833.33;21.84;159.86249775;2694.06249775;1204.05;185447.69351726887;415188.2812499998;178354.95124999984;153443.65437499984
0.0;1166.67;1339.09;235666.67;21.84;159.07500225;2686.6750022500005;1204.05;187143.47907242636;415618.31085765397;179951.64085765395;155014.54220619472
0.0;1166.67;1332.49;234500.0;21.84;158.2875;2679.2875;1204.05;188833.80244095591;416048.7858667605;181548.78586676047;156585.85871475484
0.0;1166.67;1325.9;233333.33;21.84;157.49999775;2671.9099977500005;1204.05;190518.6674056151;416479.70673864207;183146.37673864208;158157.59433432354
