correction;amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
0.0;631.15;1494.23;263640.01;21.84;82.25568312;2229.47568312;1189.18;151943.47117467673;411337.98196409096;147697.97196409095;123017.69304624549
0.0;634.81;1490.66;263005.19;21.84;82.05761928;2229.3676192800003;1189.18;153131.3301685746;411764.02363960433;148758.83363960433;124052.99222122808
0.0;638.5;1487.07;262366.7;21.84;81.8584104;2229.2684104;1189.18;154320.23646898865;412190.5065860852;149823.80658608518;125092.37619092007
0.0;642.21;1483.46;261724.49;21.84;81.65804088;2229.1680408800003;1189.18;155510.18992509783;412617.4312605782;150892.94126057823;126135.89538494353
0.0;645.94;1479.83;261078.55;21.84;81.4565076;2229.0665076;1189.18;156701.1903828125;413044.79812060145;151966.24812060146;127183.56023336538
0.0;649.69;1476.18;260428.87;21.84;81.25380744;2228.96380744;1189.18;157893.23768477127;413472.60762414674;153043.73762414674;128235.38116669795
0.0;653.46;1472.5;259775.41;21.84;81.04992792;2228.84992792;1189.18;159086.3216513161;413900.8602296804;154125.45022968037;129291.39861589955
0.0;657.25;1468.81;259118.16;21.84;80.84486592;2228.74486592;1204.05;160265.5677554988;414329.5563961435;155211.3963961435;130351.6230123749
0.0;661.07;1465.09;258457.09;21.84;80.63861208;2228.63861208;1204.05;161445.8458006261;414758.6965829526;156301.60658295258;131416.08478797541
0.0;664.9;1461.35;257792.19;21.84;80.43116327999999;2228.52116328;1204.05;162578.35743336592;415188.2812499998;157396.09124999982;132484.79437499982
0.0;668.76;1457.59;257123.43;21.84;80.22251016;2228.4125101600002;1204.05;163760.64163748815;415618.31085765397;158494.88085765397;133557.78220619474
0.0;672.64;1453.81;256450.79;21.84;80.01264648;2228.30264648;1204.05;164943.95710183386;416048.7858667605;159597.99586676047;134635.06871475483
0.0;676.54;1450.01;255774.25;21.84;79.801566;2228.1915660000004;1204.05;166128.3036038787;416479.70673864207;160705.45673864207;135716.67433432356
0.0;680.47;1446.18;255093.78;21.84;79.58925936;2228.0792593600004;1204.05;167313.6809115145;416911.07393509935;161817.29393509935;136802.6294989934
0.0;684.42;1442.34;254409.36;21.84;79.37572032;2227.9757203199997;1204.05;168500.09879581578;417342.88791841123;162933.52791841124;137892.95464330656
0.0;688.39;1438.47;253720.97;21.84;79.16094264;2227.8609426400003;1204.05;169687.5470117373;417775.1491513354;164054.1791513354;138987.67020225528
0.0;692.38;1434.58;253028.59;21.84;78.94492008;2227.74492008;1204.05;170876.02530775123;418207.8580971089;165179.2680971089;140086.79661128236
0.0;696.4;1430.66;252332.2;21.84;78.7276464;2227.6276464000002;1204.05;172065.533425841;418641.01521944854;166308.81521944853;141190.3543062816
0.0;700.44;1426.72;251631.76;21.84;78.50910912;2227.50910912;1219.1;173241.00656785286;419074.62098255137;167442.86098255136;142298.38372359826
0.0;704.5;1422.76;250927.26;21.84;78.28930512;2227.3893051200002;1219.1;174417.49444562182;419508.6758510953;168581.41585109528;143410.89530002957
0.0;708.58;1418.78;250218.68;21.84;78.06822815999999;2227.26822816;1219.1;175594.99676445866;419943.18029023946;169724.50029023946;144527.9094728251
0.0;712.69;1414.77;249505.99;21.84;77.84586888;2227.1458688800003;1219.1;176720.48116605464;420378.1347656248;170872.14476562483;145649.45667968734
0.0;716.82;1410.74;248789.16;21.84;77.62221792;2227.02221792;1219.1;177899.96025379494;420813.5397433746;172024.37974337462;146775.56735877215
0.0;720.98;1406.69;248068.19;21.84;77.39727528;2226.9072752800002;1219.1;179080.4628101861;421249.3956900949;173181.2056900949;147906.24194868922
0.0;725.16;1402.61;247343.03;21.84;77.17102536;2226.78102536;1219.1;180261.9785049626;421685.70307287504;174342.67307287504;149041.53088850254
0.0;729.36;1398.51;246613.66;21.84;76.94346192;2226.65346192;1219.1;181444.50700129423;422122.46235928807;175508.80235928806;150181.45461773078
0.0;733.59;1394.39;245880.07;21.84;76.71458184;2226.53458184;1219.1;182628.0579685553;422559.67401739134;176679.60401739134;151326.02357634786
0.0;737.84;1390.24;245142.23;21.84;76.48437576;2226.40437576;1219.1;183812.62105677923;422997.3385157271;177855.10851572707;152475.26820478344
0.0;742.12;1386.07;244400.11;21.84;76.25283431999999;2226.2828343200003;1219.1;184998.20591594532;423435.4563233228;179035.3463233228;153629.21894392342
0.0;746.42;1381.87;243653.69;21.84;76.01995128;2226.14995128;1234.34;186169.54746899795;423874.0279096916;180220.33790969162;154787.89623511012
0.0;750.75;1377.65;242902.95;21.84;75.7857204;2226.0257204000004;1234.34;187341.89533853298;424313.0537448332;181410.1037448332;155951.3205201432
0.0;755.1;1373.41;242147.85;21.84;75.5501292;2225.9001292000003;1234.34;188515.24913428994;424752.5342992339;182604.68429923392;157119.5322412799
0.0;759.47;1369.14;241388.38;21.84;75.31317456;2225.76317456;1234.34;189689.59845285595;425192.47004386736;183804.09004386736;158292.5418412353
0.0;763.87;1364.84;240624.51;21.84;75.07484712;2225.62484712;1234.34;190807.68339819525;425632.861450195;185008.351450195;159470.3797631833
0.0;768.3;1360.53;239856.21;21.84;74.83513751999999;2225.50513752;1234.34;191983.98726122803;426073.7089901667;186217.49899016673;160653.07645075672
0.0;772.75;1356.18;239083.47;21.84;74.59404264;2225.3640426400007;1234.34;193161.28535046094;426515.01313622104;187431.54313622104;161840.64234804778
0.0;777.22;1351.81;238306.24;21.84;74.35154688;2225.22154688;1234.34;194339.57722336394;426956.7743612859;188650.5343612859;163033.12789960875
0.0;781.73;1347.42;237524.52;21.84;74.10765024;2225.0976502400003;1234.34;195518.88245628533;427398.9931387791;189874.47313877908;164230.53355045232
0.0;786.25;1343.0;236738.26;21.84;73.86233712;2224.9523371200003;1234.34;196699.18059024384;427841.6699426086;191103.40994260862;165432.90974605212
0.0;790.81;1338.55;235947.45;21.84;73.61560440000001;2224.8156043999998;1234.34;197880.481172345;428284.8052471736;192337.35524717357;166640.26693234316
0.0;795.39;1334.08;235152.07;21.84;100.17478182;2251.48478182;1249.76;199074.18207090726;428728.39952736424;193576.32952736423;167852.62555572236
0.0;799.99;1329.58;234352.07;21.84;99.83398182;2251.24398182;1249.76;200268.79418723859;429172.4532585627;194820.3832585627;169070.03606304896
0.0;804.63;1325.06;233547.45;21.84;99.4912137;2251.0212137000003;1249.76;201464.33645020085;429616.9669166436;196069.5169166436;170292.49890164498
0.0;809.29;1320.51;232738.16;21.84;99.14645616;2250.7864561600004;1249.76;202660.79775664874;430061.94097797433;197323.78097797433;171520.06451929588
0.0;813.97;1315.94;231924.19;21.84;98.79970494;2250.54970494;1249.76;203858.1769981079;430507.37591941573;198583.18591941573;172752.74336425078
0.0;818.68;1311.33;231105.5;21.84;98.450943;2250.3009429999997;1249.76;204994.94609941336;430953.2722183225;199847.7722183225;173990.57588522314
0.0;823.42;1306.7;230282.08;21.84;98.10016608;2250.06016608;1249.76;206194.08842563376;431399.63035254384;201117.55035254385;175233.57253139123
0.0;828.19;1302.05;229453.89;21.84;97.74735714;2249.82735714;1249.76;207394.1552208735;431846.45080042386;202392.56080042385;176481.7737523984
0.0;832.99;1297.37;228620.9;21.84;97.3925034;2249.5925033999997;1249.76;208595.14533072602;432293.73404080205;203672.83404080206;177735.20999835394
